事業所コード,事業所名,営業区分,提供商品,提供日,献立表料理名,価格メモ,提供価格,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/19,黒毛和牛コロッケタルタル焼き,,360,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,いも類（こんにゃく含む）,マヨネーズ,その他,,,,,,,484.834,8.573,38.837,24.753,1.097,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/20,チーズハンバーグ,,360,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（その他）,マヨネーズ,チーズ,,,和,,設定なし,,435.607,17.895,32.25,16.944,1.656,,,,,,,,○,,○,○,,CTM/attachment/2016012813585283916795d07-6f55-4c1e-9674-ffe61ddf6971/00110001-4
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/21,春雨豚キムチ,,360,本登録,通常レシピ,マイレシピ,冷小鉢,炒物,肉（豚）,設定なし,ピリ辛,,,韓国,,設定なし,0,338.168,18.239,25.895,4.351,1.568,,,,,,,,○,,,,,CTM/attachment/2016012819235345178201a6b-367e-42b7-9fbf-cf5d0a58f2aa/00130019-24
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/22,フライドチキン,,360,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,塩,その他,,,洋,,設定なし,,489.461,25.832,32.553,23.672,2.593,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/23,鶏肉のスタミナ焼き,,360,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,味噌,にんにく,,,和,,設定なし,,316,18.025,24.955,5.66,2.062,,,,,,,,○,,,,,CTM/attachment/20160419172801408c9416707-2613-4202-8687-b36e45afe623/03020155-4
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/7/24,大きなメンチカツ,,360,本登録,通常レシピ,マイレシピ,その他２,揚物,肉（その他）,,,,設定なし,設定なし,,設定なし,,346.61,10.89,25.41,17.93,1.1,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/18,イワシの梅しそフライ,,360,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,醤油,その他,,,設定なし,,設定なし,0,417.34,18.34,25.76,25.62,2.24,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/19,点心セット,,360,本登録,通常レシピ,マイレシピ,ガロニ１,和え物・酢の物,野菜,その他,その他,,,和,,,0,463.044,12.516,31.342,32.519,2.972,,,,,,○,,○,,○,,,CTM/attachment/201604131743521f554cda2-f0a2-4c37-a501-7fb0e89370ec/92222222-14
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/20,さばの唐揚げサラダ仕立て,,360,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,0,363.495,14.504,28.492,8.88,1.483,,,,,,,,○,,,,,CTM/attachment/2016040413354127550a51ca7-d0f0-43ad-b59b-3be3c8055180/さば黒酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/21,エビカツ,,360,本登録,通常レシピ,本部レシピ,その他１,揚物,魚以外の魚介・練り製品,その他,その他,,,設定なし,,,0,242.4,9.72,13.69,20.07,1.08,,,,,,○,,○,,○,,,CTM/attachment/2016040811511042180fb8c6e-63ae-4174-8c74-fc86c4bd6112/01111111-41
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/22,ホキのガーリックバタームニエル,,360,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ホワイト・牛乳,その他,冬,,洋,,テーマ別健康メニュー,,339.5,19.545,24.66,8.405,1.414,,,,,,,,○,,,○,,CTM/attachment/2016020310265712855a96f8-f6e8-49c3-9a53-fa573bf96299/00140016-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/23,3種コロッケ盛り,,360,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,加工肉製品,,,,,,,,,444,7.98,23.22,50.88,1.62,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/7/24,鯖の利休焼き,,360,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,,,和,,設定なし,0,346.36,18.018,25.652,8.645,1.799,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,丼,2022/7/19,麻婆飯,,300,本登録,通常レシピ,全社レシピ,ご飯もの,丼物・ごはんもの,豆・豆製品,味噌,ピリ辛,,,中華,,パート事業所向けレシピ,0,686.619,23.056,16.254,108.189,3.359,,,,,,,,○,,,○,,CTM/attachment/2016040812071842236ace30f-9782-4fa3-9083-f28f1aa83311/97000015-1
1140-00,豊橋技術科学大学 食堂,昼食,丼,2022/7/20,鮭と大葉のご飯,,300,本登録,通常レシピ,全社レシピ,ご飯もの,丼物・ごはんもの,魚,その他,,秋,,和,,おすすめ旬,0,575.27,19.249,10.691,94.585,1.042,,,,,,,,,,○,,,CTM/attachment/20160716213714627477e8321-e02d-42fb-bbcd-e8e252450019/00130005-12
1140-00,豊橋技術科学大学 食堂,昼食,丼,2022/7/21,和風きのこスパゲティ,,300,本登録,通常レシピ,マイレシピ,その他麺,麺類,海藻・きのこ,その他,その他,,,和,,,0,505.33,16.099,13.5,82.482,2.085,,,,,,,,○,,,○,,CTM/attachment/201604121613433909a88c45b-890a-405d-bddf-2778ff6a0911/きのこ
1140-00,豊橋技術科学大学 食堂,昼食,丼,2022/7/22,うなぎちらし,,300,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,魚,その他,その他,夏,土用丑,和,,,,623.66,22.359,14.559,97.469,2.852,,,,,,,,○,,○,,,CTM/attachment/20160129112355804d7230231-815b-48cc-a161-2db584b35bd1/00130021-1
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/7/19,まろやか白味噌ラーメン,,300,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,設定なし,和,,設定なし,0,444.65,19.2,7.355,71.87,7.01,,,,,,,,○,,○,○,,CTM/attachment/20160407163309778b6c876b5-13c3-4c32-9a09-29d42863cf01/15111144-65
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/7/20,ワンタンメン,,300,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（その他）,醤油,その他,,設定なし,和,,設定なし,0,441.667,36.128,17.015,68.283,8.208,,,,,,,,○,,○,,,CTM/attachment/20160407163357139146c2018-3be0-4320-b7f1-f2b091ea5fe0/15111144-77
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/7/21,冷やし抹茶そば,,300,本登録,通常レシピ,全社レシピ,和麺,麺類,その他,醤油,その他,夏,設定なし,和,愛知,フェア,0,428.7,12.988,9.286,73.614,2.932,,,,,,,,○,○,○,○,,CTM/attachment/201601201652281614e137d6d-f61a-4008-9cad-a62165e9d265/00100039-13
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/7/22,豚骨ラーメン,,300,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,その他,,,中華,,,,366.65,31.545,11.73,63.48,6.395,,,,,,,,○,,○,,,CTM/attachment/201604071603512770c0ad5a-90bc-4dd2-8b2f-13dc688d3468/15111144-22
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリA,2022/7/19,鶏団子黒酢あん,,1,本登録,通常レシピ,マイレシピ,その他２,揚物,肉（その他）,設定なし,その他,,,中華,,,0,261,12.509,15.123,17.481,1.35,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリA,2022/7/20,とんかつ,,1,本登録,通常レシピ,マイレシピ,その他３,揚物,その他,,その他,,設定なし,,,,0,259,13.19,14.06,18.76,0.6,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリA,2022/7/21,豚しゃぶ肉と白菜のシーザーマリネ,,1,本登録,通常レシピ,マイレシピ,その他１,サラダ,肉（豚）,その他,その他,夏,,和,,設定なし,0,134.11,7.806,9.609,3.099,0.299,,,,,,,,○,,,,,CTM/attachment/2016042117401640279cb7691-2d62-4cb0-8e94-328fb471eee4/09020003-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリA,2022/7/22,揚げ茄子の辛みソース,,1,本登録,通常レシピ,マイレシピ,温小鉢,揚物,野菜,味噌,ピリ辛,,,和,,おすすめ旬,,157.015,4.966,10.139,11.239,0.784,,,,,,,,○,,,,,CTM/attachment/201602020927368208fce9a0e-00b2-40ed-b526-6b7e71ca1517/00130025-16
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリB,2022/7/19,スナップえんどうのサラダ,,1,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,酢・ドレ,その他,春,,洋,,設定なし,0,33.29,1.531,0.101,7.442,1.307,,,,,,,,○,,,,,CTM/attachment/20160419183153957863f4e06-1afb-46d0-8abc-4b86ce8c7594/09010303-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリB,2022/7/20,マカロニサラダ,,1,本登録,通常レシピ,マイレシピ,その他２,サラダ,加工ミンチ製品,マヨネーズ,その他,,,洋,,設定なし,0,121.78,3.864,3.283,19.333,0.616,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリB,2022/7/21,野菜の天ぷら,,1,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,その他,その他,冬,,和,,,0,214.89,3.21,9.57,28.19,0.02,,,,,,,,○,,,,,CTM/attachment/20160216102210789aa464b63-d245-4e82-8e77-970cd02dd081/てんぷら
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリB,2022/7/22,ポテトサラダカレー風味,,1,本登録,通常レシピ,マイレシピ,サラダ,サラダ,いも類（こんにゃく含む）,マヨネーズ,カレー,,,,,設定なし,,195.67,1.335,14.121,15.894,0.761,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリC,2022/7/19,キャベツとちくわのごま和え,,1,本登録,通常レシピ,マイレシピ,その他２,和え物・酢の物,野菜,酢・ドレ,ごま,,設定なし,,,設定なし,0,128.64,4.178,7.047,13.245,1.12,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリC,2022/7/20,肉じゃが,,1,本登録,通常レシピ,マイレシピ,その他２,煮物,いも類（こんにゃく含む）,醤油,その他,,設定なし,和,,設定なし,0,184.517,5.428,8.88,21.044,1.665,,,,,,,,○,,,,,CTM/attachment/2016041217304117481c0d0d0-1aa3-4627-bfa4-e0ee551327d7/02222222-19
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリC,2022/7/21,オクラと鶏もも肉のトマト煮,,1,本登録,通常レシピ,マイレシピ,その他２,サラダ,野菜,酢・ドレ,その他,夏,,洋,,,0,96.7,7.9,5.83,4.98,0.577,,,,,,,,,,,,,CTM/attachment/2016041218251855638c36655-2149-418c-9903-c5e2ebaae0da/09010049-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチデリC,2022/7/22,人参しりしり,,1,本登録,通常レシピ,マイレシピ,その他２,炒物,野菜,醤油,,,,設定なし,沖縄,,,120.78,6.779,7.232,7.097,1.147,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/18,やわらか酢豚,,360,本登録,通常レシピ,マイレシピ,肉メイン１,煮物,肉（豚）,醤油,その他,,,中華,,,0,402.897,21.298,17.703,39.913,3.57,,,,,,,,○,,,,,CTM/attachment/201604111436537915c182ff9-0fb1-4068-8bdb-07259bd9d9c0/02111111-61
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/19,ピリ辛焼鳥,,360,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,設定なし,ピリ辛,,設定なし,中華,,設定なし,0,220.727,15.746,15.534,5.078,1.594,,,,,,,,○,,,,,CTM/attachment/20160204165518168d730680-346d-435e-b531-7f7e38806e72/やきとり
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/20,鶏のごましそ揚げ,,360,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,設定なし,香草・しそ,,,和,,テーマ別健康メニュー,0,431.498,20.863,26.811,26.561,1.383,,,,,,,,○,,,,,CTM/attachment/20160203102255817c9a8dd8b-2a40-4ea1-8de8-56089bab6b64/00140008-4
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/21,ポークソテーデミソース,,360,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,デミグラス,その他,,,洋,,,0,366.509,19.353,27.853,6.577,1.25,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/22,さばの南蛮あんからめ,,360,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,調理技術勉強会,,394.839,11.641,23.11,31.927,3.54,,,,,,,,○,,,,,CTM/attachment/2016012710261850263545618-badd-41f1-84c5-81772ac4002e/00120000-6
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/23,豚肉の紅しょうが揚げ,,360,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（豚）,設定なし,その他,,設定なし,設定なし,,設定なし,,439.72,23.052,31.496,12.08,1.526,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/7/24,チキンソテー明太マヨソース,,360,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,マヨネーズ,その他,,,和,,設定なし,0,480.846,19.154,41.982,6.632,1.387,,,,,,,,○,,○,,,CTM/attachment/201604191756484808b418d87-667e-47ad-9525-68970cdce134/03020305-1
1140-00,豊橋技術科学大学 食堂,夕食,定食B,2022/7/18,ぶりの塩麹焼き,,360,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,0,264.18,19.868,16.044,7.71,2.162,,,,,,,,,,,,,CTM/attachment/201601281640116375f5c373a-210d-41ef-be31-0f58d384552e/00130006-15
1140-00,豊橋技術科学大学 食堂,夕食,定食B,2022/7/23,鰆の幽庵焼き,,360,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,その他,その他,,,和,,設定なし,,180.79,16.919,7.804,8.727,1.72,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食B,2022/7/24,サーモンフライ,,360,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,その他,その他,秋,,洋,,おすすめ旬,0,323.55,18.767,22.353,8.781,0.594,,,,,,,,○,,○,,,CTM/attachment/2016012816170012995bc4f27-8137-4314-957f-9a8d50f687bf/00130005-7
1140-00,豊橋技術科学大学 食堂,夕食,夕）ラーメン,2022/7/19,まろやか白味噌ラーメン,,360,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,設定なし,和,,設定なし,0,444.65,19.2,7.355,71.87,7.01,,,,,,,,○,,○,○,,CTM/attachment/20160407163309778b6c876b5-13c3-4c32-9a09-29d42863cf01/15111144-65
1140-00,豊橋技術科学大学 食堂,夕食,夕）ラーメン,2022/7/20,ワンタンメン,,360,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（その他）,醤油,その他,,設定なし,和,,設定なし,0,441.667,36.128,17.015,68.283,8.208,,,,,,,,○,,○,,,CTM/attachment/20160407163357139146c2018-3be0-4320-b7f1-f2b091ea5fe0/15111144-77
1140-00,豊橋技術科学大学 食堂,夕食,夕）ラーメン,2022/7/21,冷やし抹茶そば,,360,本登録,通常レシピ,全社レシピ,和麺,麺類,その他,醤油,その他,夏,設定なし,和,愛知,フェア,0,428.7,12.988,9.286,73.614,2.932,,,,,,,,○,○,○,○,,CTM/attachment/201601201652281614e137d6d-f61a-4008-9cad-a62165e9d265/00100039-13
1140-00,豊橋技術科学大学 食堂,夕食,夕）ラーメン,2022/7/22,豚骨ラーメン,,360,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,その他,,,中華,,,,366.65,31.545,11.73,63.48,6.395,,,,,,,,○,,○,,,CTM/attachment/201604071603512770c0ad5a-90bc-4dd2-8b2f-13dc688d3468/15111144-22
